Country,Region,Score
Sub-Saharan Africa,Mauritius,5.888
Sub-Saharan Africa,Nigeria,5.265
Sub-Saharan Africa,Cameroon,5.044
Sub-Saharan Africa,Ghana,4.996
Sub-Saharan Africa,Côte d'Ivoire,4.944
Sub-Saharan Africa,Benin,4.883
Sub-Saharan Africa,Congo,4.812
Sub-Saharan Africa,Gabon,4.799
Sub-Saharan Africa,South Africa,4.722
Sub-Saharan Africa,Senegal,4.681
Sub-Saharan Africa,Somalia,4.668
Sub-Saharan Africa,Namibia,4.639
Sub-Saharan Africa,Niger,4.628
Sub-Saharan Africa,Burkina Faso,4.587
Sub-Saharan Africa,Guinea,4.534
Sub-Saharan Africa,Gambia,4.516
Sub-Saharan Africa,Kenya,4.509
Sub-Saharan Africa,Mauritania,4.490
Sub-Saharan Africa,Mozambique,4.466
Sub-Saharan Africa,Democratic Republic of the Congo,4.418
Sub-Saharan Africa,Mali,4.390
Sub-Saharan Africa,Sierra Leone,4.374
Sub-Saharan Africa,Chad,4.350
Sub-Saharan Africa,Ethiopia,4.286
Sub-Saharan Africa,Eswatini,4.212
Sub-Saharan Africa,Uganda,4.189
Sub-Saharan Africa,Zambia,4.107
Sub-Saharan Africa,Togo,4.085
Sub-Saharan Africa,Liberia,3.975
Sub-Saharan Africa,Comoros,3.973
Sub-Saharan Africa,Madagascar,3.933
Sub-Saharan Africa,Lesotho,3.802
Sub-Saharan Africa,Burundi,3.775
Sub-Saharan Africa,Zimbabwe,3.663
Sub-Saharan Africa,Botswana,3.488
Sub-Saharan Africa,Malawi,3.410
Sub-Saharan Africa,Rwanda,3.334
Sub-Saharan Africa,United Republic of Tanzania,3.231
Sub-Saharan Africa,Central African Republic,3.083
Sub-Saharan Africa,South Sudan,2.853
