Country,Region,Score
Eastern Europe,Ukraine,4.332
Eastern Europe,Bulgaria,5.011
Eastern Europe,Belarus,5.323
Eastern Europe,Republic of Moldova,5.529
Eastern Europe,Russian Federation,5.648
Eastern Europe,Hungary,5.758
Eastern Europe,Romania,6.070
Eastern Europe,Poland,6.182
Eastern Europe,Slovakia,6.198
Eastern Europe,Czechia,6.852
Northern Europe,Estonia,5.893
Northern Europe,Latvia,5.940
Northern Europe,Lithuania,6.149
Northern Europe,Ireland,7.021
Northern Europe,United Kingdom of Great Britain and Northern Ireland,7.054
Northern Europe,Sweden,7.343
Northern Europe,Iceland,7.494
Northern Europe,Norway,7.554
Northern Europe,Denmark,7.600
Northern Europe,Finland,7.769
Southern Europe,Albania,4.719
Southern Europe,The former Yugoslav Republic of Macedonia,5.274
Southern Europe,Greece,5.287
Southern Europe,Bosnia and Herzegovina,5.386
Southern Europe,Croatia,5.432
Southern Europe,Montenegro,5.523
Southern Europe,Serbia,5.603
Southern Europe,Portugal,5.693
Southern Europe,Kosovo,6.100
Southern Europe,Slovenia,6.118
Southern Europe,Italy,6.223
Southern Europe,Spain,6.354
Southern Europe,Malta,6.726
Western Europe,France,6.592
Western Europe,Belgium,6.923
Western Europe,Germany,6.985
Western Europe,Luxembourg,7.090
Western Europe,Austria,7.246
Western Europe,Switzerland,7.480
Western Europe,Netherlands,7.488
